candidate,instance,step,x,active
3,0,4,0.63,1
3,0,5,0.75,1
3,0,6,0.88,1
3,1,0,1.13,0
3,1,1,1.25,1
3,1,2,1.38,1
3,1,3,1.5,1
3,1,4,1.63,1
3,1,5,1.75,1
3,1,6,1.88,1
3,2,0,2.13,0
3,2,1,2.25,1
3,2,2,2.38,1
3,2,3,2.5,1
3,2,4,2.63,1
3,2,5,2.75,1
3,2,6,2.88,1
3,3,0,3.13,0
3,3,1,3.25,1
3,3,2,3.38,1
3,3,3,3.5,1
3,3,4,3.63,1
3,3,5,3.75,1
3,3,6,3.88,1
3,4,0,4.13,0
3,4,1,4.25,1
3,4,2,4.38,1
3,4,3,4.5,1
3,4,4,4.63,1
3,4,5,4.75,1
3,4,6,4.88,1
3,5,0,5.13,0
3,5,1,5.25,1
3,5,2,5.38,1
3,5,3,5.5,1
3,5,4,5.63,1
3,5,5,5.75,1
3,5,6,5.88,1
3,6,0,6.13,0
3,6,1,6.25,1
3,6,2,6.38,1
3,6,3,6.5,1
3,6,4,6.63,1
3,6,5,6.75,1
3,6,6,6.88,1
3,7,0,7.13,0
3,7,1,7.25,1
3,7,2,7.38,1
3,7,3,7.5,1
3,7,4,7.63,1
3,7,5,7.75,1
3,7,6,7.88,1
3,8,0,8.13,0
3,8,1,8.25,1
3,8,2,8.38,1
3,8,3,8.5,1
3,8,4,8.63,1
3,8,5,8.75,1
3,8,6,8.88,1
3,9,0,9.13,0
3,9,1,9.25,1
3,9,2,9.38,1
3,9,3,9.5,1
3,9,4,9.63,1
3,9,5,9.75,1
3,9,6,9.88,1
3,10,0,10.14,0
3,10,1,10.29,1
3,10,2,10.43,1
3,10,3,10.57,1
3,10,4,10.71,1
3,10,5,10.86,1
4,0,0,0.13,1
4,0,1,0.25,1
4,0,2,0.38,1
4,0,3,0.5,1
4,0,4,0.63,1
4,0,5,0.75,1
4,0,6,0.88,0
4,1,0,1.13,1
4,1,1,1.25,1
4,1,2,1.38,1
4,1,3,1.5,1
4,1,4,1.63,1
4,1,5,1.75,1
4,1,6,1.88,1
4,2,0,2.13,1
4,2,1,2.25,1
4,2,2,2.38,1
4,2,3,2.5,1
4,2,4,2.63,1
4,2,5,2.75,0
4,2,6,2.88,0
4,3,0,3.13,1
4,3,1,3.25,1
4,3,2,3.38,1
4,3,3,3.5,1
4,3,4,3.63,1
4,3,5,3.75,1
4,3,6,3.88,0
4,4,0,4.13,1
4,4,1,4.25,1
4,4,2,4.38,1
4,4,3,4.5,1
4,4,4,4.63,1
4,4,5,4.75,1
4,4,6,4.88,1
4,5,0,5.13,1
4,5,1,5.25,1
4,5,2,5.38,1
4,5,3,5.5,1
4,5,4,5.63,1
4,5,5,5.75,0
4,5,6,5.88,0
4,6,0,6.13,1
4,6,1,6.25,1
4,6,2,6.38,1
4,6,3,6.5,1
4,6,4,6.63,1
4,6,5,6.75,1
4,6,6,6.88,0
4,7,0,7.13,1
4,7,1,7.25,1
4,7,2,7.38,1
4,7,3,7.5,1
4,7,4,7.63,1
4,7,5,7.75,1
4,7,6,7.88,0
4,8,0,8.13,1
4,8,1,8.25,1
4,8,2,8.38,1
4,8,3,8.5,1
4,8,4,8.63,1
4,8,5,8.75,1
4,8,6,8.88,0
4,9,0,9.13,1
4,9,1,9.25,1
4,9,2,9.38,1
4,9,3,9.5,1
4,9,4,9.63,1
4,9,5,9.75,0
4,9,6,9.88,0
4,10,0,10.14,1
4,10,1,10.29,1
4,10,2,10.43,1
4,10,3,10.57,1
4,10,4,10.71,1
4,10,5,10.86,0
5,0,0,0.13,0
5,0,1,0.25,1
5,0,2,0.38,1
5,0,3,0.5,1
5,0,4,0.63,1
5,0,5,0.75,1
5,0,6,0.88,1
5,1,0,1.13,0
5,1,1,1.25,1
5,1,2,1.38,1
5,1,3,1.5,1
5,1,4,1.63,1
5,1,5,1.75,1
5,1,6,1.88,1
5,2,0,2.13,0
5,2,1,2.25,1
5,2,2,2.38,1
5,2,3,2.5,1
5,2,4,2.63,1
5,2,5,2.75,1
5,2,6,2.88,1
5,3,0,3.13,0
5,3,1,3.25,1
5,3,2,3.38,1
5,3,3,3.5,1
5,3,4,3.63,1
5,3,5,3.75,1
5,3,6,3.88,1
5,4,0,4.13,0
5,4,1,4.25,1
5,4,2,4.38,1
5,4,3,4.5,1
5,4,4,4.63,1
5,4,5,4.75,0
5,4,6,4.88,0
5,5,0,5.13,0
5,5,1,5.25,1
5,5,2,5.38,1
5,5,3,5.5,1
5,5,4,5.63,1
5,5,5,5.75,1
5,5,6,5.88,0
5,6,0,6.13,0
5,6,1,6.25,1
5,6,2,6.38,1
5,6,3,6.5,1
5,6,4,6.63,1
5,6,5,6.75,1
5,6,6,6.88,1
5,7,0,7.13,0
5,7,1,7.25,1
5,7,2,7.38,1
5,7,3,7.5,1
5,7,4,7.63,1
5,7,5,7.75,1
5,7,6,7.88,1
5,8,0,8.13,0
5,8,1,8.25,1
5,8,2,8.38,1
5,8,3,8.5,1
5,8,4,8.63,1
5,8,5,8.75,1
5,8,6,8.88,1
5,9,0,9.13,0
5,9,1,9.25,1
5,9,2,9.38,1
5,9,3,9.5,1
5,9,4,9.63,1
5,9,5,9.75,0
5,9,6,9.88,0
5,10,0,10.14,0
5,10,1,10.29,1
5,10,2,10.43,1
5,10,3,10.57,1
5,10,4,10.71,1
5,10,5,10.86,1
6,0,0,0.13,0
6,0,1,0.25,1
6,0,2,0.38,1
6,0,3,0.5,1
6,0,4,0.63,1
6,0,5,0.75,1
6,0,6,0.88,1
6,1,0,1.13,0
6,1,1,1.25,1
6,1,2,1.38,1
6,1,3,1.5,1
6,1,4,1.63,1
6,1,5,1.75,0
6,1,6,1.88,0
6,2,0,2.13,0
6,2,1,2.25,1
6,2,2,2.38,1
6,2,3,2.5,1
6,2,4,2.63,1
6,2,5,2.75,1
6,2,6,2.88,0
6,3,0,3.13,0
6,3,1,3.25,1
6,3,2,3.38,1
6,3,3,3.5,1
6,3,4,3.63,1
6,3,5,3.75,0
6,3,6,3.88,0
6,4,0,4.13,0
6,4,1,4.25,1
6,4,2,4.38,1
6,4,3,4.5,1
6,4,4,4.63,1
6,4,5,4.75,1
6,4,6,4.88,1
6,5,0,5.13,0
6,5,1,5.25,1
6,5,2,5.38,1
6,5,3,5.5,1
6,5,4,5.63,1
6,5,5,5.75,1
6,5,6,5.88,1
6,6,0,6.13,0
6,6,1,6.25,1
6,6,2,6.38,1
6,6,3,6.5,1
6,6,4,6.63,1
6,6,5,6.75,0
6,6,6,6.88,0
6,7,0,7.13,0
6,7,1,7.25,1
6,7,2,7.38,1
6,7,3,7.5,1
6,7,4,7.63,1
6,7,5,7.75,0
6,7,6,7.88,0
6,8,0,8.13,0
6,8,1,8.25,1
6,8,2,8.38,1
6,8,3,8.5,1
6,8,4,8.63,1
6,8,5,8.75,1
6,8,6,8.88,1
6,9,0,9.13,0
6,9,1,9.25,1
6,9,2,9.38,1
6,9,3,9.5,1
6,9,4,9.63,1
6,9,5,9.75,1
6,9,6,9.88,1
6,10,0,10.14,0
6,10,1,10.29,1
6,10,2,10.43,1
6,10,3,10.57,1
6,10,4,10.71,1
6,10,5,10.86,1
7,0,0,0.13,0
7,0,1,0.25,0
7,0,2,0.38,1
7,0,3,0.5,1
7,0,4,0.63,1
7,0,5,0.75,1
7,0,6,0.88,1
7,1,0,1.13,0
7,1,1,1.25,0
7,1,2,1.38,1
7,1,3,1.5,1
7,1,4,1.63,1
7,1,5,1.75,1
7,1,6,1.88,1
7,2,0,2.13,0
7,2,1,2.25,0
7,2,2,2.38,1
7,2,3,2.5,1
7,2,4,2.63,1
7,2,5,2.75,1
7,2,6,2.88,1
7,3,0,3.13,0
7,3,1,3.25,0
7,3,2,3.38,1
7,3,3,3.5,1
7,3,4,3.63,1
7,3,5,3.75,1
7,3,6,3.88,1
7,4,0,4.13,0
7,4,1,4.25,0
7,4,2,4.38,1
7,4,3,4.5,1
7,4,4,4.63,1
7,4,5,4.75,1
7,4,6,4.88,1
7,5,0,5.13,0
7,5,1,5.25,0
7,5,2,5.38,1
7,5,3,5.5,1
7,5,4,5.63,1
7,5,5,5.75,1
7,5,6,5.88,1
7,6,0,6.13,0
7,6,1,6.25,0
7,6,2,6.38,1
7,6,3,6.5,1
7,6,4,6.63,1
7,6,5,6.75,1
7,6,6,6.88,1
7,7,0,7.13,0
7,7,1,7.25,0
7,7,2,7.38,1
7,7,3,7.5,1
7,7,4,7.63,1
7,7,5,7.75,1
7,7,6,7.88,1
7,8,0,8.13,0
7,8,1,8.25,0
7,8,2,8.38,1
7,8,3,8.5,1
7,8,4,8.63,1
7,8,5,8.75,1
7,8,6,8.88,1
7,9,0,9.13,0
7,9,1,9.25,0
7,9,2,9.38,1
7,9,3,9.5,1
7,9,4,9.63,1
7,9,5,9.75,1
7,9,6,9.88,1
7,10,0,10.14,0
7,10,1,10.29,0
7,10,2,10.43,1
7,10,3,10.57,1
7,10,4,10.71,1
7,10,5,10.86,1
8,0,0,0.13,0
8,0,1,0.25,0
8,0,2,0.38,1
8,0,3,0.5,1
8,0,4,0.63,1
8,0,5,0.75,1
8,0,6,0.88,1
8,1,0,1.13,0
8,1,1,1.25,0
8,1,2,1.38,1
8,1,3,1.5,1
8,1,4,1.63,1
8,1,5,1.75,1
8,1,6,1.88,1
8,2,0,2.13,0
8,2,1,2.25,0
8,2,2,2.38,1
8,2,3,2.5,1
8,2,4,2.63,1
8,2,5,2.75,1
8,2,6,2.88,1
8,3,0,3.13,0
8,3,1,3.25,0
8,3,2,3.38,1
8,3,3,3.5,1
8,3,4,3.63,1
8,3,5,3.75,1
8,3,6,3.88,1
8,4,0,4.13,0
8,4,1,4.25,0
8,4,2,4.38,1
8,4,3,4.5,1
8,4,4,4.63,1
8,4,5,4.75,1
8,4,6,4.88,1
8,5,0,5.13,0
8,5,1,5.25,0
8,5,2,5.38,1
8,5,3,5.5,1
8,5,4,5.63,1
8,5,5,5.75,1
8,5,6,5.88,1
8,6,0,6.13,0
8,6,1,6.25,0
8,6,2,6.38,1
8,6,3,6.5,1
8,6,4,6.63,1
8,6,5,6.75,1
8,6,6,6.88,1
8,7,0,7.13,0
8,7,1,7.25,0
8,7,2,7.38,1
8,7,3,7.5,1
8,7,4,7.63,1
8,7,5,7.75,1
8,7,6,7.88,1
8,8,0,8.13,0
8,8,1,8.25,0
8,8,2,8.38,1
8,8,3,8.5,1
8,8,4,8.63,1
8,8,5,8.75,1
8,8,6,8.88,1
8,9,0,9.13,0
8,9,1,9.25,0
8,9,2,9.38,1
8,9,3,9.5,1
8,9,4,9.63,1
8,9,5,9.75,1
8,9,6,9.88,1
8,10,0,10.14,0
8,10,1,10.29,0
8,10,2,10.43,1
8,10,3,10.57,1
8,10,4,10.71,1
8,10,5,10.86,1
9,0,0,0.13,0
9,0,1,0.25,0
9,0,2,0.38,1
9,0,3,0.5,1
9,0,4,0.63,1
9,0,5,0.75,1
9,0,6,0.88,1
9,1,0,1.13,0
9,1,1,1.25,0
9,1,2,1.38,1
9,1,3,1.5,1
9,1,4,1.63,1
9,1,5,1.75,1
9,1,6,1.88,1
9,2,0,2.13,0
9,2,1,2.25,0
9,2,2,2.38,1
9,2,3,2.5,1
9,2,4,2.63,1
9,2,5,2.75,1
9,2,6,2.88,1
9,3,0,3.13,0
9,3,1,3.25,0
9,3,2,3.38,1
9,3,3,3.5,1
9,3,4,3.63,1
9,3,5,3.75,1
9,3,6,3.88,1
9,4,0,4.13,0
9,4,1,4.25,0
9,4,2,4.38,1
9,4,3,4.5,1
9,4,4,4.63,1
9,4,5,4.75,1
9,4,6,4.88,1
9,5,0,5.13,0
9,5,1,5.25,0
9,5,2,5.38,1
9,5,3,5.5,1
9,5,4,5.63,1
9,5,5,5.75,1
9,5,6,5.88,1
9,6,0,6.13,0
9,6,1,6.25,0
9,6,2,6.38,1
9,6,3,6.5,1
9,6,4,6.63,1
9,6,5,6.75,1
9,6,6,6.88,1
9,7,0,7.13,0
9,7,1,7.25,0
9,7,2,7.38,1
9,7,3,7.5,1
9,7,4,7.63,1
9,7,5,7.75,1
9,7,6,7.88,1
9,8,0,8.13,0
9,8,1,8.25,0
9,8,2,8.38,1
9,8,3,8.5,1
9,8,4,8.63,1
9,8,5,8.75,1
9,8,6,8.88,1
9,9,0,9.13,0
9,9,1,9.25,0
9,9,2,9.38,1
9,9,3,9.5,1
9,9,4,9.63,1
9,9,5,9.75,1
9,9,6,9.88,1
9,10,0,10.14,0
9,10,1,10.29,0
9,10,2,10.43,1
9,10,3,10.57,1
9,10,4,10.71,1
9,10,5,10.86,1
10,0,0,0.13,0
10,0,1,0.25,1
10,0,2,0.38,1
10,0,3,0.5,1
10,0,4,0.63,1
10,0,5,0.75,0
10,0,6,0.88,0
10,1,0,1.13,0
10,1,1,1.25,1
10,1,2,1.38,1
10,1,3,1.5,1
10,1,4,1.63,1
10,1,5,1.75,1
10,1,6,1.88,0
10,2,0,2.13,0
10,2,1,2.25,1
10,2,2,2.38,1
10,2,3,2.5,1
10,2,4,2.63,1
10,2,5,2.75,1
10,2,6,2.88,1
10,3,0,3.13,0
10,3,1,3.25,1
10,3,2,3.38,1
10,3,3,3.5,1
10,3,4,3.63,1
10,3,5,3.75,1
10,3,6,3.88,0
10,4,0,4.13,0
10,4,1,4.25,1
10,4,2,4.38,1
10,4,3,4.5,1
10,4,4,4.63,1
10,4,5,4.75,1
10,4,6,4.88,1
10,5,0,5.13,0
10,5,1,5.25,1
10,5,2,5.38,1
10,5,3,5.5,1
10,5,4,5.63,1
10,5,5,5.75,1
10,5,6,5.88,1
10,6,0,6.13,0
10,6,1,6.25,1
10,6,2,6.38,1
10,6,3,6.5,1
10,6,4,6.63,1
10,6,5,6.75,1
10,6,6,6.88,0
10,7,0,7.13,0
10,7,1,7.25,1
10,7,2,7.38,1
10,7,3,7.5,1
10,7,4,7.63,1
10,7,5,7.75,0
10,7,6,7.88,0
10,8,0,8.13,0
10,8,1,8.25,1
10,8,2,8.38,1
10,8,3,8.5,1
10,8,4,8.63,1
10,8,5,8.75,0
10,8,6,8.88,0
10,9,0,9.13,0
10,9,1,9.25,1
10,9,2,9.38,1
10,9,3,9.5,1
10,9,4,9.63,1
10,9,5,9.75,1
10,9,6,9.88,0
10,10,0,10.14,0
10,10,1,10.29,1
10,10,2,10.43,1
10,10,3,10.57,1
10,10,4,10.71,1
10,10,5,10.86,0
11,0,0,0.13,0
11,0,1,0.25,1
11,0,2,0.38,1
11,0,3,0.5,1
11,0,4,0.63,1
11,0,5,0.75,0
11,0,6,0.88,0
11,1,0,1.13,0
11,1,1,1.25,1
11,1,2,1.38,1
11,1,3,1.5,1
11,1,4,1.63,1
11,1,5,1.75,1
11,1,6,1.88,0
11,2,0,2.13,0
11,2,1,2.25,1
11,2,2,2.38,1
11,2,3,2.5,1
11,2,4,2.63,1
11,2,5,2.75,0
11,2,6,2.88,0
11,3,0,3.13,0
11,3,1,3.25,1
11,3,2,3.38,1
11,3,3,3.5,1
11,3,4,3.63,1
11,3,5,3.75,0
11,3,6,3.88,0
11,4,0,4.13,0
11,4,1,4.25,1
11,4,2,4.38,1
11,4,3,4.5,1
11,4,4,4.63,1
11,4,5,4.75,1
11,4,6,4.88,0
11,5,0,5.13,0
11,5,1,5.25,1
11,5,2,5.38,1
11,5,3,5.5,1
11,5,4,5.63,1
11,5,5,5.75,0
11,5,6,5.88,0
11,6,0,6.13,0
11,6,1,6.25,1
11,6,2,6.38,1
11,6,3,6.5,1
11,6,4,6.63,1
11,6,5,6.75,0
11,6,6,6.88,0
11,7,0,7.13,0
11,7,1,7.25,1
11,7,2,7.38,1
11,7,3,7.5,1
11,7,4,7.63,1
11,7,5,7.75,1
11,7,6,7.88,1
11,8,0,8.13,0
11,8,1,8.25,1
11,8,2,8.38,1
11,8,3,8.5,1
11,8,4,8.63,1
11,8,5,8.75,1
11,8,6,8.88,1
11,9,0,9.13,0
11,9,1,9.25,1
11,9,2,9.38,1
11,9,3,9.5,1
11,9,4,9.63,1
11,9,5,9.75,1
11,9,6,9.88,1
11,10,0,10.14,0
11,10,1,10.29,1
11,10,2,10.43,1
11,10,3,10.57,1
11,10,4,10.71,1
11,10,5,10.86,1
12,0,0,0.13,1
12,0,1,0.25,1
12,0,2,0.38,1
12,0,3,0.5,1
12,0,4,0.63,1
12,0,5,0.75,0
12,0,6,0.88,0
12,1,0,1.13,1
12,1,1,1.25,1
12,1,2,1.38,1
12,1,3,1.5,1
12,1,4,1.63,0
12,1,5,1.75,0
12,1,6,1.88,0
12,2,0,2.13,1
12,2,1,2.25,1
12,2,2,2.38,1
12,2,3,2.5,1
12,2,4,2.63,0
12,2,5,2.75,0
12,2,6,2.88,0
12,3,0,3.13,1
12,3,1,3.25,1
12,3,2,3.38,1
12,3,3,3.5,1
12,3,4,3.63,0
12,3,5,3.75,0
12,3,6,3.88,0
12,4,0,4.13,1
12,4,1,4.25,1
12,4,2,4.38,1
12,4,3,4.5,1
12,4,4,4.63,0
12,4,5,4.75,0
12,4,6,4.88,0
12,5,0,5.13,1
12,5,1,5.25,1
12,5,2,5.38,1
12,5,3,5.5,1
12,5,4,5.63,0
12,5,5,5.75,0
12,5,6,5.88,0
12,6,0,6.13,1
12,6,1,6.25,1
12,6,2,6.38,1
12,6,3,6.5,1
12,6,4,6.63,0
12,6,5,6.75,0
12,6,6,6.88,0
12,7,0,7.13,1
12,7,1,7.25,1
12,7,2,7.38,1
12,7,3,7.5,1
12,7,4,7.63,0
12,7,5,7.75,0
12,7,6,7.88,0
12,8,0,8.13,1
12,8,1,8.25,1
12,8,2,8.38,1
12,8,3,8.5,1
12,8,4,8.63,0
12,8,5,8.75,0
12,8,6,8.88,0
12,9,0,9.13,1
12,9,1,9.25,1
12,9,2,9.38,1
12,9,3,9.5,1
12,9,4,9.63,0
12,9,5,9.75,0
12,9,6,9.88,0
12,10,0,10.14,1
12,10,1,10.29,1
12,10,2,10.43,1
12,10,3,10.57,1
12,10,4,10.71,0
12,10,5,10.86,0
13,0,0,0.13,0
13,0,1,0.25,0
13,0,2,0.38,0
13,0,3,0.5,1
13,0,4,0.63,1
13,0,5,0.75,1
13,0,6,0.88,1
13,1,0,1.13,0
13,1,1,1.25,0
13,1,2,1.38,0
13,1,3,1.5,1
13,1,4,1.63,1
13,1,5,1.75,1
13,1,6,1.88,1
13,2,0,2.13,0
13,2,1,2.25,0
13,2,2,2.38,0
13,2,3,2.5,1
13,2,4,2.63,1
13,2,5,2.75,1
13,2,6,2.88,1
13,3,0,3.13,0
13,3,1,3.25,0
13,3,2,3.38,0
13,3,3,3.5,1
13,3,4,3.63,1
13,3,5,3.75,1
13,3,6,3.88,1
13,4,0,4.13,0
13,4,1,4.25,0
13,4,2,4.38,0
13,4,3,4.5,1
13,4,4,4.63,1
13,4,5,4.75,1
13,4,6,4.88,1
13,5,0,5.13,0
