candidate,instance,step,x,active
7,3,2,3.38,1
7,3,3,3.5,1
7,3,4,3.63,1
7,3,5,3.75,1
7,3,6,3.88,0
7,4,0,4.13,1
7,4,1,4.25,1
7,4,2,4.38,1
7,4,3,4.5,1
7,4,4,4.63,1
7,4,5,4.75,1
7,4,6,4.88,0
7,5,0,5.13,1
7,5,1,5.25,1
7,5,2,5.38,1
7,5,3,5.5,1
7,5,4,5.63,1
7,5,5,5.75,1
7,5,6,5.88,0
7,6,0,6.13,1
7,6,1,6.25,1
7,6,2,6.38,1
7,6,3,6.5,1
7,6,4,6.63,1
7,6,5,6.75,1
7,6,6,6.88,0
7,7,0,7.14,1
7,7,1,7.29,1
7,7,2,7.43,1
7,7,3,7.57,1
7,7,4,7.71,1
7,7,5,7.86,1
8,0,0,0.13,0
8,0,1,0.25,1
8,0,2,0.38,1
8,0,3,0.5,1
8,0,4,0.63,1
8,0,5,0.75,1
8,0,6,0.88,0
8,1,0,1.13,0
8,1,1,1.25,1
8,1,2,1.38,1
8,1,3,1.5,1
8,1,4,1.63,1
8,1,5,1.75,1
8,1,6,1.88,1
8,2,0,2.13,0
8,2,1,2.25,1
8,2,2,2.38,1
8,2,3,2.5,1
8,2,4,2.63,1
8,2,5,2.75,1
8,2,6,2.88,1
8,3,0,3.13,0
8,3,1,3.25,1
8,3,2,3.38,1
8,3,3,3.5,1
8,3,4,3.63,1
8,3,5,3.75,1
8,3,6,3.88,1
8,4,0,4.13,0
8,4,1,4.25,1
8,4,2,4.38,1
8,4,3,4.5,1
8,4,4,4.63,1
8,4,5,4.75,1
8,4,6,4.88,0
8,5,0,5.13,0
8,5,1,5.25,1
8,5,2,5.38,1
8,5,3,5.5,1
8,5,4,5.63,1
8,5,5,5.75,1
8,5,6,5.88,1
8,6,0,6.13,0
8,6,1,6.25,1
8,6,2,6.38,1
8,6,3,6.5,1
8,6,4,6.63,1
8,6,5,6.75,1
8,6,6,6.88,1
8,7,0,7.14,0
8,7,1,7.29,1
8,7,2,7.43,1
8,7,3,7.57,1
8,7,4,7.71,1
8,7,5,7.86,1
9,0,0,0.13,0
9,0,1,0.25,1
9,0,2,0.38,1
9,0,3,0.5,1
9,0,4,0.63,1
9,0,5,0.75,1
9,0,6,0.88,0
9,1,0,1.13,0
9,1,1,1.25,1
9,1,2,1.38,1
9,1,3,1.5,1
9,1,4,1.63,1
9,1,5,1.75,1
9,1,6,1.88,0
9,2,0,2.13,0
9,2,1,2.25,1
9,2,2,2.38,1
9,2,3,2.5,1
9,2,4,2.63,1
9,2,5,2.75,1
9,2,6,2.88,0
9,3,0,3.13,0
9,3,1,3.25,1
9,3,2,3.38,1
9,3,3,3.5,1
9,3,4,3.63,1
9,3,5,3.75,1
9,3,6,3.88,1
9,4,0,4.13,0
9,4,1,4.25,1
9,4,2,4.38,1
9,4,3,4.5,1
9,4,4,4.63,1
9,4,5,4.75,1
9,4,6,4.88,1
9,5,0,5.13,0
9,5,1,5.25,1
9,5,2,5.38,1
9,5,3,5.5,1
9,5,4,5.63,1
9,5,5,5.75,1
9,5,6,5.88,1
9,6,0,6.13,0
9,6,1,6.25,1
9,6,2,6.38,1
9,6,3,6.5,1
9,6,4,6.63,1
9,6,5,6.75,1
9,6,6,6.88,0
9,7,0,7.14,0
9,7,1,7.29,1
9,7,2,7.43,1
9,7,3,7.57,1
9,7,4,7.71,1
9,7,5,7.86,1
10,0,0,0.13,1
10,0,1,0.25,1
10,0,2,0.38,1
10,0,3,0.5,1
10,0,4,0.63,1
10,0,5,0.75,0
10,0,6,0.88,0
10,1,0,1.13,1
10,1,1,1.25,1
10,1,2,1.38,1
10,1,3,1.5,1
10,1,4,1.63,1
10,1,5,1.75,0
10,1,6,1.88,0
10,2,0,2.13,1
10,2,1,2.25,1
10,2,2,2.38,1
10,2,3,2.5,1
10,2,4,2.63,1
10,2,5,2.75,1
10,2,6,2.88,0
10,3,0,3.13,1
10,3,1,3.25,1
10,3,2,3.38,1
10,3,3,3.5,1
10,3,4,3.63,1
10,3,5,3.75,0
10,3,6,3.88,0
10,4,0,4.13,1
10,4,1,4.25,1
10,4,2,4.38,1
10,4,3,4.5,1
10,4,4,4.63,1
10,4,5,4.75,0
10,4,6,4.88,0
10,5,0,5.13,1
10,5,1,5.25,1
10,5,2,5.38,1
10,5,3,5.5,1
10,5,4,5.63,1
10,5,5,5.75,0
10,5,6,5.88,0
10,6,0,6.13,1
10,6,1,6.25,1
10,6,2,6.38,1
10,6,3,6.5,1
10,6,4,6.63,1
10,6,5,6.75,0
10,6,6,6.88,0
10,7,0,7.14,1
10,7,1,7.29,1
10,7,2,7.43,1
10,7,3,7.57,1
10,7,4,7.71,1
10,7,5,7.86,0
11,0,0,0.13,1
11,0,1,0.25,1
11,0,2,0.38,1
11,0,3,0.5,1
11,0,4,0.63,1
11,0,5,0.75,0
11,0,6,0.88,0
11,1,0,1.13,1
11,1,1,1.25,1
11,1,2,1.38,1
11,1,3,1.5,1
11,1,4,1.63,1
11,1,5,1.75,0
11,1,6,1.88,0
11,2,0,2.13,1
11,2,1,2.25,1
11,2,2,2.38,1
11,2,3,2.5,1
11,2,4,2.63,1
11,2,5,2.75,1
11,2,6,2.88,0
11,3,0,3.13,1
11,3,1,3.25,1
11,3,2,3.38,1
11,3,3,3.5,1
11,3,4,3.63,1
11,3,5,3.75,0
11,3,6,3.88,0
11,4,0,4.13,1
11,4,1,4.25,1
11,4,2,4.38,1
11,4,3,4.5,1
11,4,4,4.63,1
11,4,5,4.75,0
11,4,6,4.88,0
11,5,0,5.13,1
11,5,1,5.25,1
11,5,2,5.38,1
11,5,3,5.5,1
11,5,4,5.63,1
11,5,5,5.75,0
11,5,6,5.88,0
11,6,0,6.13,1
11,6,1,6.25,1
11,6,2,6.38,1
11,6,3,6.5,1
11,6,4,6.63,1
11,6,5,6.75,0
11,6,6,6.88,0
11,7,0,7.14,1
11,7,1,7.29,1
11,7,2,7.43,1
11,7,3,7.57,1
11,7,4,7.71,1
11,7,5,7.86,0
12,0,0,0.13,1
12,0,1,0.25,1
12,0,2,0.38,1
12,0,3,0.5,1
12,0,4,0.63,1
12,0,5,0.75,0
12,0,6,0.88,0
12,1,0,1.13,1
12,1,1,1.25,1
12,1,2,1.38,1
12,1,3,1.5,1
12,1,4,1.63,1
12,1,5,1.75,0
12,1,6,1.88,0
12,2,0,2.13,1
12,2,1,2.25,1
12,2,2,2.38,1
12,2,3,2.5,1
12,2,4,2.63,1
12,2,5,2.75,1
12,2,6,2.88,0
12,3,0,3.13,1
12,3,1,3.25,1
12,3,2,3.38,1
12,3,3,3.5,1
12,3,4,3.63,1
12,3,5,3.75,0
12,3,6,3.88,0
